instr.;opcode;dez;mnemonic;register;needs ea;read;write;addr.mode;H;N;Z;V;C;desc;category
PUL;$35;53;PULS;REG_S;;BYTE;;IMMEDIATE;c;c;c;c;c;"R=MEM(S) : S += 1; Pull register from S Stack";Index/Stack Pointer Instructions
PUL;$37;55;PULU;REG_U;;BYTE;;IMMEDIATE;c;c;c;c;c;"R=MEM(U) : U += 1; Pull register from U Stack";Index/Stack Pointer Instructions
RESET;$3e;62;RESET;;;;;;*;*;*;*;*;Undocumented opcode;other
ROL;$09;9;ROL;;yes;BYTE;BYTE;DIRECT;-;a;a;a;s;M = Rotate M left thru carry;8-Bit Accumulator and Memory Instructions
ROL;$79;121;ROL;;yes;BYTE;BYTE;EXTENDED;-;a;a;a;s;M = Rotate M left thru carry;8-Bit Accumulator and Memory Instructions
ROL;$69;105;ROL;;yes;BYTE;BYTE;INDEXED;-;a;a;a;s;M = Rotate M left thru carry;8-Bit Accumulator and Memory Instructions
ROL;$49;73;ROLA;REG_A;;;;INHERENT;-;a;a;a;s;A = Rotate A left thru carry;8-Bit Accumulator and Memory Instructions
ROL;$59;89;ROLB;REG_B;;;;INHERENT;-;a;a;a;s;B = Rotate B left thru carry;8-Bit Accumulator and Memory Instructions
ROR;$06;6;ROR;;yes;BYTE;BYTE;DIRECT;-;a;a;-;s;M = Rotate M Right thru carry;8-Bit Accumulator and Memory Instructions
ROR;$76;118;ROR;;yes;BYTE;BYTE;EXTENDED;-;a;a;-;s;M = Rotate M Right thru carry;8-Bit Accumulator and Memory Instructions
ROR;$66;102;ROR;;yes;BYTE;BYTE;INDEXED;-;a;a;-;s;M = Rotate M Right thru carry;8-Bit Accumulator and Memory Instructions
ROR;$46;70;RORA;REG_A;;;;INHERENT;-;a;a;-;s;A = Rotate A Right thru carry;8-Bit Accumulator and Memory Instructions
ROR;$56;86;RORB;REG_B;;;;INHERENT;-;a;a;-;s;B = Rotate B Right thru carry;8-Bit Accumulator and Memory Instructions
RTI;$3b;59;RTI;;;;;INHERENT;-;-;-;-;-;Return from Interrupt;Miscellaneous Instructions
RTS;$39;57;RTS;;;;;INHERENT;-;-;-;-;-;Return from subroutine;Miscellaneous Instructions
SBC;$92;146;SBCA;REG_A;;BYTE;;DIRECT;u;a;a;a;a;A = A - M - C;8-Bit Accumulator and Memory Instructions
SBC;$b2;178;SBCA;REG_A;;BYTE;;EXTENDED;u;a;a;a;a;A = A - M - C;8-Bit Accumulator and Memory Instructions
SBC;$82;130;SBCA;REG_A;;BYTE;;IMMEDIATE;u;a;a;a;a;A = A - M - C;8-Bit Accumulator and Memory Instructions
SBC;$a2;162;SBCA;REG_A;;BYTE;;INDEXED;u;a;a;a;a;A = A - M - C;8-Bit Accumulator and Memory Instructions
SBC;$d2;210;SBCB;REG_B;;BYTE;;DIRECT;u;a;a;a;a;B = B - M - C;8-Bit Accumulator and Memory Instructions
SBC;$f2;242;SBCB;REG_B;;BYTE;;EXTENDED;u;a;a;a;a;B = B - M - C;8-Bit Accumulator and Memory Instructions
SBC;$c2;194;SBCB;REG_B;;BYTE;;IMMEDIATE;u;a;a;a;a;B = B - M - C;8-Bit Accumulator and Memory Instructions
SBC;$e2;226;SBCB;REG_B;;BYTE;;INDEXED;u;a;a;a;a;B = B - M - C;8-Bit Accumulator and Memory Instructions
SEX;$1d;29;SEX;;;;;INHERENT;-;a;a;0;-;Sign extend B into A;16-Bit Accumulator and Memory Instructions Instruction
ST;$97;151;STA;REG_A;yes;;BYTE;DIRECT;-;a;a;0;-;M = A;8-Bit Accumulator and Memory Instructions
ST;$b7;183;STA;REG_A;yes;;BYTE;EXTENDED;-;a;a;0;-;M = A;8-Bit Accumulator and Memory Instructions
ST;$a7;167;STA;REG_A;yes;;BYTE;INDEXED;-;a;a;0;-;M = A;8-Bit Accumulator and Memory Instructions
ST;$d7;215;STB;REG_B;yes;;BYTE;DIRECT;-;a;a;0;-;M = B;8-Bit Accumulator and Memory Instructions
ST;$f7;247;STB;REG_B;yes;;BYTE;EXTENDED;-;a;a;0;-;M = B;8-Bit Accumulator and Memory Instructions
ST;$e7;231;STB;REG_B;yes;;BYTE;INDEXED;-;a;a;0;-;M = B;8-Bit Accumulator and Memory Instructions
